species;pollination;pest_control;seed_dispersal;seed_predation;biological_control;birdwatching;food;ecosystem_engineering
Acrobatornis_fonsecai;0;1;0;0;0;1;0;0
Amazona_pretrei;0;0;1;1;0;1;0;0
Amazona_rhodocorytha;0;0;0;1;0;1;0;0
Amazona_vinacea;0;0;0;1;0;1;1;0
Antilophia_bokermanni;0;1;1;0;0;1;0;0
Anumara_forbesi;0;1;1;0;0;1;0;0
Automolus_lammi;0;1;0;0;0;1;0;0
Biatas_nigropectus;0;1;0;0;0;1;0;0
Buteogallus_lacernulatus;0;1;0;0;1;1;0;0
Calyptura_cristata;0;1;1;0;0;1;0;0
Celeus_galeatus;0;1;0;0;0;1;0;1
Celeus_tinnunculus;0;1;0;0;0;1;0;1
Cotinga_maculata;0;1;1;0;0;1;1;0
Crax_blumenbachii;0;0;1;0;0;1;1;0
Dendrocincla_taunayi;0;1;0;0;0;1;0;0
Dysithamnus_plumbeus;0;1;0;0;0;1;0;0
Eleoscytalopus_psychopompus;0;1;0;0;0;1;0;0
Formicivora_erythronotos;0;1;0;0;0;1;0;0
Formicivora_littoralis;0;1;0;0;0;1;0;0
Formicivora_paludicola;0;1;0;0;0;1;0;0
Glaucidium_mooreorum;0;1;0;0;1;1;1;0
Glaucis_dohrnii;1;0;0;0;0;1;0;0
Hemitriccus_furcatus;0;1;0;0;0;1;0;0
Hemitriccus_kaempferi;0;1;0;0;0;1;0;0
Hemitriccus_mirandae;0;1;0;0;0;1;0;0
Herpsilochmus_pileatus;0;1;0;0;0;1;0;0
Iodopleura_pipra;0;0;1;0;0;1;0;0
Leptodon_forbesi;0;1;0;0;1;1;0;0
Lipaugus_conditus;0;0;1;0;0;1;0;0
Merulaxis_stresemanni;0;1;0;0;0;1;0;0
Myrmoderus_ruficauda;0;1;0;0;0;1;0;0
Myrmotherula_minor;0;1;0;0;0;1;0;0
Myrmotherula_snowi;0;1;0;0;0;1;0;0
Myrmotherula_urosticta;0;1;0;0;0;1;0;0
Nemosia_rourei;0;1;0;0;0;1;0;0
Onychorhynchus_swainsoni;0;1;0;0;0;1;0;0
Paraclaravis_geoffroyi;0;0;1;1;0;1;1;0
Phaethornis_margarettae;1;0;0;0;0;1;0;0
Phylloscartes_beckeri;0;1;0;0;0;1;0;0
Phylloscartes_ceciliae;0;1;0;0;0;1;0;0
Piculus_polyzonus;0;1;0;0;0;1;0;1
Pionus_reichenowi;0;0;0;1;0;1;1;0
Pipile_jacutinga;0;0;1;0;0;1;1;0
Platyrinchus_leucoryphus;0;1;0;0;0;1;0;0
Pyriglena_atra;0;1;0;0;0;1;0;0
Pyriglena_pernambucensis;0;1;0;0;0;1;0;0
Pyrrhura_cruentata;0;0;1;1;0;1;0;0
Pyrrhura_griseipectus;0;0;1;1;0;1;0;0
Pyrrhura_leucotis;0;0;0;1;0;1;0;0
Rhopornis_ardesiacus;0;1;0;0;0;1;0;0
Sclerurus_cearensis;0;1;0;0;0;1;0;0
Scytalopus_diamantinensis;0;1;0;0;0;1;0;0
Scytalopus_gonzagai;0;1;0;0;0;1;0;0
Scytalopus_iraiensis;0;1;0;0;0;1;0;0
Sporophila_falcirostris;0;0;0;1;0;1;0;0
Sporophila_frontalis;0;0;0;1;0;1;0;0
Stilpnia_peruviana;0;0;1;0;0;1;0;0
Synallaxis_infuscata;0;1;0;0;0;1;0;0
Tangara_fastuosa;0;0;1;0;0;1;0;0
Terenura_sicki;0;1;0;0;0;1;0;0
Thalurania_watertonii;1;0;0;0;0;1;0;0
Thripophaga_macroura;0;1;0;0;0;1;0;0
Touit_surdus;0;0;1;0;0;1;0;1
Xipholena_atropurpurea;0;0;1;0;0;1;1;0
Xiphorhynchus_atlanticus;0;1;0;0;0;1;0;0
